year,scale,age,m,w,all
2016,4,25-34,20,18,38
2016,5,25-34,40,34,74
2016,6,25-34,14,14,28
2016,7,25-34,10,12,22
2016,8,25-34,5,2,7
2016,9,25-34,4,1,5
2016,10,25-34,2,2,4
2016,NR,25-34,14,23,37
2016,DK,25-34,17,14,31
2015,1,18-24,2,3,5
2015,2,18-24,7,5,12
2015,3,18-24,14,14,28
2015,4,18-24,10,7,17
2015,5,18-24,27,25,52
2015,6,18-24,8,7,15
2015,7,18-24,9,6,15
2015,8,18-24,4,3,7
2015,9,18-24,0,1,1
2015,10,18-24,0,0,0
2015,NR,18-24,17,21,38
2015,DK,18-24,5,11,16
2015,1,25-34,10,11,21
2015,2,25-34,11,7,18
2015,3,25-34,29,27,56
2015,4,25-34,19,25,44
2015,5,25-34,36,36,72
2015,6,25-34,31,14,45
2015,7,25-34,12,5,17
2015,8,25-34,10,7,17
2015,9,25-34,3,3,6
2015,10,25-34,1,1,2
2015,NR,25-34,9,25,34
2015,DK,25-34,21,8,29
2014,1,18-24,2,3,5
2014,2,18-24,5,7,12
2014,3,18-24,13,9,22
2014,4,18-24,12,6,18
2014,5,18-24,23,25,48
2014,6,18-24,8,3,11
2014,7,18-24,2,2,4
2014,8,18-24,4,2,6
2014,9,18-24,1,0,1
2014,10,18-24,0,0,0
2014,NR,18-24,19,27,46
2014,DK,18-24,10,19,29
2014,1,25-34,8,13,21
2014,2,25-34,11,11,22
2014,3,25-34,39,21,60
2014,4,25-34,32,28,60
2014,5,25-34,52,38,90
2014,6,25-34,13,13,26
2014,7,25-34,13,5,18
2014,8,25-34,7,4,11
2014,9,25-34,2,0,2
2014,10,25-34,0,1,1
2014,NR,25-34,21,28,49
2014,DK,25-34,26,34,60
2013,1,18-24,5,3,8
2013,2,18-24,3,8,11
2013,3,18-24,15,9,24
2013,4,18-24,14,21,35
2013,5,18-24,28,29,57
2013,6,18-24,8,3,11
2013,7,18-24,7,3,10
2013,8,18-24,5,0,5
2013,9,18-24,1,0,1
2013,10,18-24,1,0,1
2013,NR,18-24,15,16,31
2013,DK,18-24,10,14,24
2013,1,25-34,13,10,23
2013,2,25-34,11,5,16
2013,3,25-34,37,32,69
2013,4,25-34,26,24,50
2013,5,25-34,50,41,91
2013,6,25-34,16,11,27
2013,7,25-34,13,5,18
2013,8,25-34,9,8,17
2013,9,25-34,0,0,0
2013,10,25-34,0,1,1
2013,NR,25-34,28,42,70
2013,DK,25-34,34,45,79
