DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Cyprus,2024-Q3,113.62,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2022-Q2,217.20,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2022-Q3,219.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2022-Q4,214.50,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2023-Q1,211.80,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2023-Q2,211.00,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2023-Q3,211.70,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2023-Q4,212.30,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2024-Q1,214.30,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2024-Q2,219.90,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Czechia,2024-Q3,224.10,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2022-Q2,166.10,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2022-Q3,164.80,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2022-Q4,156.10,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2023-Q1,152.00,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2023-Q2,150.00,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2023-Q3,147.90,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2023-Q4,145.00,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2024-Q1,144.10,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2024-Q2,146.30,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Germany,2024-Q3,146.80,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2022-Q2,143.96,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2022-Q3,144.39,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2022-Q4,140.99,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2023-Q1,135.13,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2023-Q2,135.67,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2023-Q3,138.07,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2023-Q4,140.26,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2024-Q1,136.66,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2024-Q2,140.94,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Denmark,2024-Q3,144.41,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2022-Q2,189.36,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2022-Q3,190.94,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2022-Q4,191.38,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2023-Q1,191.43,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2023-Q2,198.79,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2023-Q3,198.26,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2023-Q4,202.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2024-Q1,206.38,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2024-Q2,212.10,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Estonia,2024-Q3,211.03,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2022-Q2,141.71,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2022-Q3,144.15,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2022-Q4,142.99,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2023-Q1,143.98,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2023-Q2,146.97,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2023-Q3,150.68,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2023-Q4,149.13,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2024-Q1,153.18,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2024-Q2,158.63,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Spain,2024-Q3,163.12,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2022-Q2,113.81,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2022-Q3,112.41,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2022-Q4,108.53,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2023-Q1,106.52,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2023-Q2,107.45,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2023-Q3,104.35,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2023-Q4,103.32,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2024-Q1,101.95,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2024-Q2,102.11,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Finland,2024-Q3,101.45,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2022-Q2,130.83,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2022-Q3,134.34,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2022-Q4,133.50,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2023-Q1,132.32,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2023-Q2,131.72,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2023-Q3,132.25,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2023-Q4,128.73,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2024-Q1,125.96,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2024-Q2,125.68,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",France,2024-Q3,127.61,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2022-Q2,157.94,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2022-Q3,162.44,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2022-Q4,170.11,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2023-Q1,173.56,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2023-Q2,179.63,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2023-Q3,180.09,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2023-Q4,186.24,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2024-Q1,189.41,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2024-Q2,197.53,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Croatia,2024-Q3,202.19,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2022-Q2,255.23,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2022-Q3,262.98,,
