Distrito;year;Renta neta media por persona;Menores de 16;ESPECIE CANINA;ESPECIE FELINA;precio €/m2 vivienda venta
15. Ciudad Lineal;2019;16349;27591;17286;8183;3035
15. Ciudad Lineal;2020;16436;27516;17522;8332;2912
15. Ciudad Lineal;2021;16890;26603;17764;8708;2969
15. Ciudad Lineal;2022;17808;25661;17692;9323;3255
16. Hortaleza;2015;17662;30519;16888;4927;2785
16. Hortaleza;2016;18277;31267;16451;6200;2898
16. Hortaleza;2017;18620;31766;16558;6748;3182
16. Hortaleza;2018;19759;32572;15965;7797;3687
16. Hortaleza;2019;20044;33480;15836;8556;3615
16. Hortaleza;2020;19890;34132;16031;8731;3668
16. Hortaleza;2021;20500;33962;16057;8964;3799
16. Hortaleza;2022;21766;34111;15795;9297;3824
17. Villaverde;2015;9642;23849;11092;897;1345
17. Villaverde;2016;9756;23964;11969;1446;1496
17. Villaverde;2017;9875;24149;12553;1737;1401
17. Villaverde;2018;10164;24455;12699;2307;1650
17. Villaverde;2019;10540;24700;12917;2694;1719
17. Villaverde;2020;10591;25191;13068;2776;1706
17. Villaverde;2021;11059;24755;13470;2933;1689
17. Villaverde;2022;11563;24218;12362;3432;1834
18. Villa de Vallecas;2015;11688;19000;7416;975;1838
18. Villa de Vallecas;2016;11925;19636;9124;1575;1941
18. Villa de Vallecas;2017;12114;20326;9646;1875;2048
18. Villa de Vallecas;2018;12545;20933;9857;2467;2273
18. Villa de Vallecas;2019;12976;21315;9923;2946;2419
18. Villa de Vallecas;2020;13099;21814;10003;3078;2384
18. Villa de Vallecas;2021;13605;21691;10114;3204;2372
18. Villa de Vallecas;2022;14274;21448;10288;3809;2529
19. Vicálvaro;2015;11375;14085;4702;545;1641
19. Vicálvaro;2016;11695;14017;5344;890;1674
19. Vicálvaro;2017;11941;13762;5559;1009;1809
19. Vicálvaro;2018;12353;13590;5393;1279;2132
19. Vicálvaro;2019;12916;13476;5244;1505;2318
19. Vicálvaro;2020;13123;13324;5306;1560;2318
